bit_width,context,baseline_mb,compressed_mb,ratio,ideal_compressed_mb,ideal_ratio
4,2048,2592,1224,2.11765,648,4
3,2048,2592,936,2.76923,486,5.33333
2,2048,2592,648,4,324,8
4,4096,5184,2448,2.11765,1296,4
3,4096,5184,1872,2.76923,972,5.33333
2,4096,5184,1296,4,648,8
4,8192,10368,4896,2.11765,2592,4
3,8192,10368,3744,2.76923,1944,5.33333
2,8192,10368,2592,4,1296,8
4,16384,20736,9792,2.11765,5184,4
3,16384,20736,7488,2.76923,3888,5.33333
2,16384,20736,5184,4,2592,8
4,32768,41472,19584,2.11765,10368,4
3,32768,41472,14976,2.76923,7776,5.33333
2,32768,41472,10368,4,5184,8
